scenario_id,merchant_type,category,expected_resolution,expected_rule,order_id,invoice_id,settlement_id,bank_txn_id,reference_number,invoice_amount,settlement_amount,bank_amount,explanation,likely_reason,exception_category
SCENARIO-ENTE-00001,enterprise,exact_match,rule,exact_order_id,ORD-ENTE-EX-00001,INV-ENTE-00001,SET-ENTE-00001,BNK-ENTE-00001,UTRENTE2026080000001,15000.00,15000.00,15000.00,"Exact match across order ID, UTR, and amount for Titan Industrial Enterprise Solutions.",,
SCENARIO-ENTE-00002,enterprise,exact_match,rule,exact_order_id,ORD-ENTE-EX-00002,INV-ENTE-00002,SET-ENTE-00002,BNK-ENTE-00002,UTRENTE2026080000002,23350.00,23350.00,23350.00,"Exact match across order ID, UTR, and amount for Titan Industrial Enterprise Solutions.",,
SCENARIO-ENTE-00003,enterprise,exact_match,rule,exact_order_id,ORD-ENTE-EX-00003,INV-ENTE-00003,SET-ENTE-00003,BNK-ENTE-00003,UTRENTE2026080000003,31700.00,31700.00,31700.00,"Exact match across order ID, UTR, and amount for Titan Industrial Enterprise Solutions.",,
SCENARIO-ENTE-00004,enterprise,exact_match,rule,exact_order_id,ORD-ENTE-EX-00004,INV-ENTE-00004,SET-ENTE-00004,BNK-ENTE-00004,UTRENTE2026080000004,40050.00,40050.00,40050.00,"Exact match across order ID, UTR, and amount for Titan Industrial Enterprise Solutions.",,
SCENARIO-ENTE-00005,enterprise,exact_match,rule,exact_order_id,ORD-ENTE-EX-00005,INV-ENTE-00005,SET-ENTE-00005,BNK-ENTE-00005,UTRENTE2026080000005,48400.00,48400.00,48400.00,"Exact match across order ID, UTR, and amount for Titan Industrial Enterprise Solutions.",,
SCENARIO-ENTE-00006,enterprise,exact_match,rule,exact_order_id,ORD-ENTE-EX-00006,INV-ENTE-00006,SET-ENTE-00006,BNK-ENTE-00006,UTRENTE2026080000006,56750.00,56750.00,56750.00,"Exact match across order ID, UTR, and amount for Titan Industrial Enterprise Solutions.",,
SCENARIO-ENTE-00007,enterprise,exact_match,rule,exact_order_id,ORD-ENTE-EX-00007,INV-ENTE-00007,SET-ENTE-00007,BNK-ENTE-00007,UTRENTE2026080000007,65100.00,65100.00,65100.00,"Exact match across order ID, UTR, and amount for Titan Industrial Enterprise Solutions.",,
SCENARIO-ENTE-00008,enterprise,exact_match,rule,exact_order_id,ORD-ENTE-EX-00008,INV-ENTE-00008,SET-ENTE-00008,BNK-ENTE-00008,UTRENTE2026080000008,73450.00,73450.00,73450.00,"Exact match across order ID, UTR, and amount for Titan Industrial Enterprise Solutions.",,
SCENARIO-ENTE-00009,enterprise,exact_match,rule,exact_order_id,ORD-ENTE-EX-00009,INV-ENTE-00009,SET-ENTE-00009,BNK-ENTE-00009,UTRENTE2026080000009,81800.00,81800.00,81800.00,"Exact match across order ID, UTR, and amount for Titan Industrial Enterprise Solutions.",,
SCENARIO-ENTE-00010,enterprise,exact_match,rule,exact_order_id,ORD-ENTE-EX-00010,INV-ENTE-00010,SET-ENTE-00010,BNK-ENTE-00010,UTRENTE2026080000010,90150.00,90150.00,90150.00,"Exact match across order ID, UTR, and amount for Titan Industrial Enterprise Solutions.",,
SCENARIO-ENTE-00011,enterprise,exact_match,rule,exact_order_id,ORD-ENTE-EX-00011,INV-ENTE-00011,SET-ENTE-00011,BNK-ENTE-00011,UTRENTE2026080000011,98500.00,98500.00,98500.00,"Exact match across order ID, UTR, and amount for Titan Industrial Enterprise Solutions.",,
SCENARIO-ENTE-00012,enterprise,exact_match,rule,exact_order_id,ORD-ENTE-EX-00012,INV-ENTE-00012,SET-ENTE-00012,BNK-ENTE-00012,UTRENTE2026080000012,106850.00,106850.00,106850.00,"Exact match across order ID, UTR, and amount for Titan Industrial Enterprise Solutions.",,
SCENARIO-ENTE-00013,enterprise,exact_match,rule,exact_order_id,ORD-ENTE-EX-00013,INV-ENTE-00013,SET-ENTE-00013,BNK-ENTE-00013,UTRENTE2026080000013,115200.00,115200.00,115200.00,"Exact match across order ID, UTR, and amount for Titan Industrial Enterprise Solutions.",,
SCENARIO-ENTE-00014,enterprise,exact_match,rule,exact_order_id,ORD-ENTE-EX-00014,INV-ENTE-00014,SET-ENTE-00014,BNK-ENTE-00014,UTRENTE2026080000014,123550.00,123550.00,123550.00,"Exact match across order ID, UTR, and amount for Titan Industrial Enterprise Solutions.",,
SCENARIO-ENTE-00015,enterprise,exact_match,rule,exact_order_id,ORD-ENTE-EX-00015,INV-ENTE-00015,SET-ENTE-00015,BNK-ENTE-00015,UTRENTE2026080000015,131900.00,131900.00,131900.00,"Exact match across order ID, UTR, and amount for Titan Industrial Enterprise Solutions.",,
SCENARIO-ENTE-00016,enterprise,exact_match,rule,exact_order_id,ORD-ENTE-EX-00016,INV-ENTE-00016,SET-ENTE-00016,BNK-ENTE-00016,UTRENTE2026080000016,140250.00,140250.00,140250.00,"Exact match across order ID, UTR, and amount for Titan Industrial Enterprise Solutions.",,
SCENARIO-ENTE-00017,enterprise,exact_match,rule,exact_order_id,ORD-ENTE-EX-00017,INV-ENTE-00017,SET-ENTE-00017,BNK-ENTE-00017,UTRENTE2026080000017,148600.00,148600.00,148600.00,"Exact match across order ID, UTR, and amount for Titan Industrial Enterprise Solutions.",,
SCENARIO-ENTE-00018,enterprise,exact_match,rule,exact_order_id,ORD-ENTE-EX-00018,INV-ENTE-00018,SET-ENTE-00018,BNK-ENTE-00018,UTRENTE2026080000018,156950.00,156950.00,156950.00,"Exact match across order ID, UTR, and amount for Titan Industrial Enterprise Solutions.",,
SCENARIO-ENTE-00019,enterprise,exact_match,rule,exact_order_id,ORD-ENTE-EX-00019,INV-ENTE-00019,SET-ENTE-00019,BNK-ENTE-00019,UTRENTE2026080000019,165300.00,165300.00,165300.00,"Exact match across order ID, UTR, and amount for Titan Industrial Enterprise Solutions.",,
SCENARIO-ENTE-00020,enterprise,exact_match,rule,exact_order_id,ORD-ENTE-EX-00020,INV-ENTE-00020,SET-ENTE-00020,BNK-ENTE-00020,UTRENTE2026080000020,173650.00,173650.00,173650.00,"Exact match across order ID, UTR, and amount for Titan Industrial Enterprise Solutions.",,
SCENARIO-ENTE-00021,enterprise,exact_match,rule,exact_order_id,ORD-ENTE-EX-00021,INV-ENTE-00021,SET-ENTE-00021,BNK-ENTE-00021,UTRENTE2026080000021,182000.00,182000.00,182000.00,"Exact match across order ID, UTR, and amount for Titan Industrial Enterprise Solutions.",,
SCENARIO-ENTE-00022,enterprise,exact_match,rule,exact_order_id,ORD-ENTE-EX-00022,INV-ENTE-00022,SET-ENTE-00022,BNK-ENTE-00022,UTRENTE2026080000022,190350.00,190350.00,190350.00,"Exact match across order ID, UTR, and amount for Titan Industrial Enterprise Solutions.",,
SCENARIO-ENTE-00023,enterprise,exact_match,rule,exact_order_id,ORD-ENTE-EX-00023,INV-ENTE-00023,SET-ENTE-00023,BNK-ENTE-00023,UTRENTE2026080000023,198700.00,198700.00,198700.00,"Exact match across order ID, UTR, and amount for Titan Industrial Enterprise Solutions.",,
